id,object_id,cog_x,cog_y,cog_z,weight,mat,assieme,end1,end2,nested,object_type,subasm,locazione,t,length,length2,incr1,incr2,idn,costr,block,type
534296,29b72fc7-220d-4361-b9b7-724bc62dfe9f,6047,3866,4104,3.5,AH36,B16,BF30,BI02,false,stiffner,A01,FR_6,FLAT,697,-,0,0,861,14146,BL02,FB80x8
534307,a594acbd-f5e2-4a59-be42-0bdff1f3a972,10503,-1487,1078,4,AH36,B38,BF10,BF10,false,stiffner,G01,FR_10.5,"BENT - 149,999999999665",1055,-,0,0,850,14146,BL02,FB60x8
534317,95f99c4a-d7cc-4b98-857d-26a72f1fda2b,12792,-3496,1384,6.1,AH36,B52,-,-,false,part,G01,FIN_STUCTURES,FLAT,0,-,0,0,295,14146,BL02,THK12
534327,d811d9d4-3174-4787-85a2-cad497adce51,6996,2845,2149,91.4,AH36,B13,-,-,false,part,G01,LONG_2850PS,FLAT,0,-,0,0,64,14146,BL02,THK10
534338,97d670fa-07a2-4504-ab1c-0e86115ed1bb,12828,3493,1453,5.2,AH36,B52,BF10+50,BF10,false,stiffner,G01,FIN_STUCTURES,BENT UNREGULAR,492,-,0,0,845,14146,BL02,FB90x15
534348,5ca936c4-bfdb-4c62-9c45-3e87e2bd13e9,9004,-599,1193,5.9,AH36,B31,BF10,BF10,false,stiffner,G01,FR_9,"BENT - 149,99999999979",1173,-,0,0,806,14146,BL02,FB80x8
534363,99648ecf-eb7c-4a5c-be7c-1ee2e47acd2a,13588,-4111,2858,3.5,AH36,E06,-,-,false,part,G01,H_2860,FLAT,0,-,0,0,291,14146,BL02,THK7
534375,f9aef43d-7a16-4e3f-87fd-70d2257c0295,13457,-1337,1429,6.8,AH36,B50,-,-,false,part,G01,FR_13.5,FLAT,0,-,0,0,287,14146,BL02,THK6
534386,c1fb27ab-004d-4796-8efe-d7a016c34d51,13460,4040,2630,2.8,AH36,B50,BF30,BF30,false,stiffner,G01,FR_13.5,FLAT,740,-,0,0,835,14146,BL02,FB80x6
534397,1f1fc07f-f7f7-4866-98a7-ce3ff5bdfb33,13453,-1337,2598,3.1,AH36,B50,-,-,false,part,G01,FR_13.5,FLAT,0,-,0,0,284,14146,BL02,THK6
534407,5311cdd6-7ab1-42ac-87df-126ead6aa39d,12668,3064,2205,9.9,AH36,E02,BF30,BF30,false,stiffner,G01,H.2250,FLAT,1163,-,0,0,504,14146,BL02,FB90x12
534078,08c997f3-33cb-4315-8221-f996354bed34,10004,-4182,2457,186.6,AH36,D01,-,-,false,part,G01,SHELL,BENT UNREGULAR,0,-,0,0,7011,14146,BL02,THK15
534088,3abc60c0-0806-4f3c-9949-fa84d4effdb2,10004,2723,4538,13.9,AH36,B34,-,-,false,part,G01,FR_10,FLAT,0,-,0,0,182,14146,BL02,THK8
534098,5a0f38bb-d8f9-481c-9e4c-32031287998e,11493,1045,1201,350.6,AH36,B03,-,-,false,part,G01,LONG_1050,FLAT,0,-,0,0,32,14146,BL02,THK10
534110,aebb449e-ef91-42dc-9888-e0ae99f5a24c,8480,0,2078,3.2,AH36,B28,BI02,BI02,false,stiffner,G01,FR_8.5,FLAT,2030,-,0,0,887,14146,BL02,FB40x5
534122,3dc2694c-91a9-4348-9905-b0b1edd2f579,10004,-3745,4551,3.2,AH36,B34,BF10,BF10,false,stiffner,G01,FR_10,"BENT - 149,999999998909",855,-,0,0,889,14146,BL02,FB60x8
534135,2102a3da-e213-48a2-afac-0bd19943f22b,11001,716,4509,7.1,AH36,E05,-,-,false,part,G01,H.4550,FLAT,0,-,0,0,267,14146,BL02,THK7
534145,c34cd109-2f97-4dfc-8e39-8e97826a0838,8004,-2110,4593,13.1,AH36,B25,-,-,false,part,G01,FR_8,FLAT,0,-,0,0,142,14146,BL02,THK7
